2022-12-01 15:45:22,765 INFO    MainThread:9876 [wandb_setup.py:_flush():68] Configure stats pid to 9876
2022-12-01 15:45:22,766 INFO    MainThread:9876 [wandb_setup.py:_flush():68] Loading settings from /Users/tdeegan/.config/wandb/settings
2022-12-01 15:45:22,766 INFO    MainThread:9876 [wandb_setup.py:_flush():68] Loading settings from /Users/tdeegan/dev/transformers/wandb/settings
2022-12-01 15:45:22,766 INFO    MainThread:9876 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-12-01 15:45:22,766 INFO    MainThread:9876 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'transformers/main.py', 'program': '/Users/tdeegan/dev/transformers/main.py'}
2022-12-01 15:45:22,766 INFO    MainThread:9876 [wandb_init.py:_log_setup():476] Logging user logs to /Users/tdeegan/dev/transformers/wandb/run-20221201_154522-vn4uinj5/logs/debug.log
2022-12-01 15:45:22,766 INFO    MainThread:9876 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/tdeegan/dev/transformers/wandb/run-20221201_154522-vn4uinj5/logs/debug-internal.log
2022-12-01 15:45:22,766 INFO    MainThread:9876 [wandb_init.py:init():516] calling init triggers
2022-12-01 15:45:22,766 INFO    MainThread:9876 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-12-01 15:45:22,766 INFO    MainThread:9876 [wandb_init.py:init():569] starting backend
2022-12-01 15:45:22,766 INFO    MainThread:9876 [wandb_init.py:init():573] setting up manager
2022-12-01 15:45:22,768 INFO    MainThread:9876 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2022-12-01 15:45:22,771 INFO    MainThread:9876 [wandb_init.py:init():580] backend started and connected
2022-12-01 15:45:22,774 INFO    MainThread:9876 [wandb_init.py:init():658] updated telemetry
2022-12-01 15:45:22,775 INFO    MainThread:9876 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-12-01 15:45:23,011 INFO    MainThread:9876 [wandb_run.py:_on_init():2000] communicating current version
2022-12-01 15:45:23,160 INFO    MainThread:9876 [wandb_run.py:_on_init():2004] got version response 
2022-12-01 15:45:23,160 INFO    MainThread:9876 [wandb_init.py:init():728] starting run threads in backend
2022-12-01 15:45:23,217 INFO    MainThread:9876 [wandb_run.py:_console_start():1980] atexit reg
2022-12-01 15:45:23,217 INFO    MainThread:9876 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-12-01 15:45:23,217 INFO    MainThread:9876 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-12-01 15:45:23,217 INFO    MainThread:9876 [wandb_run.py:_redirect():1925] Redirects installed.
2022-12-01 15:45:23,218 INFO    MainThread:9876 [wandb_init.py:init():765] run started, returning control to user process
2022-12-01 15:48:28,935 WARNING MsgRouterThr:9876 [router.py:message_loop():77] message_loop has been closed
