
train_set.shape: (60000, 49, 16)

 63%|██████▎   | 379/600 [00:03<00:02, 110.36it/s]
loss: [600]: 220.02267456054688
5 -> [3]
0 -> [2]
4 -> [1]
1 -> [1]
9 -> [1]
2 -> [7]
1 -> [1]
3 -> [8]
1 -> [1]
4 -> [1]
3 -> [2]
5 -> [1]
3 -> [8]
6 -> [7]
1 -> [1]
7 -> [2]
2 -> [3]
8 -> [8]
6 -> [1]
9 -> [3]
Accuracy (on train): 0.25
7 -> [7]
2 -> [7]
1 -> [1]
0 -> [2]
4 -> [7]
1 -> [1]
4 -> [7]
9 -> [8]
5 -> [2]
9 -> [3]
0 -> [3]
6 -> [7]
9 -> [1]
0 -> [8]
1 -> [1]
5 -> [7]
9 -> [7]
7 -> [2]
100%|██████████| 600/600 [00:05<00:00, 112.19it/s]
  0%|          | 0/600 [00:00<?, ?it/s]
4 -> [1]


 73%|███████▎  | 439/600 [00:03<00:01, 107.83it/s]
loss: [1200]: 195.6012420654297
5 -> [8]
0 -> [0]
4 -> [4]
1 -> [1]
9 -> [4]
2 -> [2]
1 -> [1]
3 -> [8]
1 -> [1]
4 -> [4]
3 -> [0]
5 -> [4]
3 -> [3]
6 -> [6]
1 -> [1]
7 -> [4]
2 -> [8]
8 -> [8]
6 -> [4]
9 -> [4]
Accuracy (on train): 0.55
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [0]
4 -> [4]
1 -> [1]
4 -> [4]
9 -> [3]
5 -> [8]
9 -> [7]
0 -> [3]
6 -> [8]
9 -> [4]
0 -> [8]
1 -> [1]
5 -> [0]
9 -> [4]
7 -> [7]
3 -> [3]
4 -> [4]
100%|██████████| 600/600 [00:05<00:00, 111.16it/s]


 83%|████████▎ | 496/600 [00:04<00:00, 109.27it/s]
loss: [1800]: 180.62890625
5 -> [0]
0 -> [0]
4 -> [4]
1 -> [1]
9 -> [4]
2 -> [2]
1 -> [1]
3 -> [3]
1 -> [1]
4 -> [4]
3 -> [3]
5 -> [6]
3 -> [3]
6 -> [6]
1 -> [1]
7 -> [7]
2 -> [3]
8 -> [8]
6 -> [6]
9 -> [4]
Accuracy (on train): 0.75
7 -> [7]
2 -> [0]
1 -> [1]
0 -> [0]
4 -> [4]
1 -> [1]
4 -> [4]
9 -> [1]
5 -> [8]
9 -> [4]
0 -> [0]
6 -> [6]
9 -> [4]
0 -> [0]
1 -> [1]
5 -> [0]
9 -> [4]
7 -> [7]
3 -> [3]
4 -> [4]
100%|██████████| 600/600 [00:05<00:00, 111.09it/s]


 93%|█████████▎| 556/600 [00:04<00:00, 117.78it/s]
loss: [2400]: 175.66293334960938
5 -> [3]
0 -> [0]
4 -> [4]
1 -> [1]
9 -> [4]
2 -> [2]
1 -> [1]
3 -> [3]
1 -> [1]
4 -> [4]
3 -> [3]
5 -> [6]
3 -> [3]
6 -> [6]
1 -> [1]
7 -> [7]
2 -> [2]
8 -> [8]
6 -> [6]
9 -> [4]
Accuracy (on train): 0.8
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [0]
4 -> [4]
1 -> [1]
4 -> [4]
9 -> [1]
5 -> [8]
9 -> [4]
0 -> [0]
6 -> [6]
9 -> [4]
0 -> [0]
1 -> [1]
5 -> [3]
9 -> [4]
7 -> [7]
3 -> [3]
4 -> [4]
100%|██████████| 600/600 [00:05<00:00, 113.09it/s]


 78%|███████▊  | 470/600 [00:05<00:01, 96.47it/s]
loss: [3000]: 171.2059326171875
5 -> [3]
0 -> [0]
4 -> [4]
1 -> [1]
9 -> [4]
2 -> [2]
1 -> [1]
3 -> [3]
1 -> [1]
4 -> [4]
3 -> [3]
5 -> [6]
3 -> [3]
6 -> [6]
1 -> [1]
7 -> [9]
2 -> [2]
8 -> [8]
6 -> [6]
9 -> [9]
Accuracy (on train): 0.8
7 -> [7]
2 -> [6]
1 -> [1]
0 -> [0]
4 -> [4]
1 -> [1]
4 -> [4]
9 -> [9]
5 -> [8]
9 -> [9]
0 -> [0]
6 -> [6]
9 -> [4]
0 -> [0]
1 -> [1]
5 -> [3]
9 -> [9]
7 -> [7]
3 -> [3]
4 -> [4]
100%|██████████| 600/600 [00:06<00:00, 90.27it/s]


