
train_set.shape: (60000, 28, 28)
 61%|██████    | 365/600 [00:01<00:00, 273.97it/s]
loss: [600]: 230.2393798828125
5 -> [7]
0 -> [7]
4 -> [7]
1 -> [7]
9 -> [7]
2 -> [7]
1 -> [7]
3 -> [7]
1 -> [7]
4 -> [7]
3 -> [7]
5 -> [7]
3 -> [7]
6 -> [7]
1 -> [7]
7 -> [7]
2 -> [7]
8 -> [7]
6 -> [7]
9 -> [7]
Accuracy (on train): 0.05
7 -> [7]
2 -> [7]
1 -> [7]
0 -> [7]
4 -> [7]
1 -> [7]
4 -> [7]
9 -> [7]
5 -> [7]
9 -> [7]
0 -> [7]
6 -> [7]
9 -> [7]
0 -> [7]
1 -> [7]
5 -> [7]
9 -> [7]
7 -> [7]
3 -> [7]
4 -> [7]
100%|██████████| 600/600 [00:02<00:00, 263.57it/s]
 47%|████▋     | 281/600 [00:01<00:01, 276.70it/s]
loss: [1200]: 230.1894989013672
5 -> [7]
0 -> [7]
4 -> [1]
1 -> [1]
9 -> [1]
2 -> [7]
1 -> [1]
3 -> [7]
1 -> [1]
4 -> [1]
3 -> [1]
5 -> [1]
3 -> [7]
6 -> [7]
1 -> [1]
7 -> [1]
2 -> [1]
8 -> [1]
6 -> [1]
9 -> [1]
Accuracy (on train): 0.2
7 -> [1]
2 -> [7]
1 -> [1]
0 -> [7]
4 -> [1]
1 -> [1]
4 -> [1]
9 -> [1]
5 -> [7]
9 -> [7]
0 -> [7]
6 -> [7]
9 -> [1]
0 -> [7]
1 -> [1]
5 -> [1]
9 -> [1]
7 -> [1]
3 -> [7]
4 -> [1]
100%|██████████| 600/600 [00:02<00:00, 275.11it/s]
 38%|███▊      | 231/600 [00:00<00:01, 279.41it/s]
loss: [1800]: 227.766845703125
5 -> [1]
0 -> [3]
4 -> [1]
1 -> [1]
9 -> [1]
2 -> [1]
1 -> [1]
3 -> [3]
1 -> [1]
4 -> [1]
3 -> [1]
5 -> [1]
3 -> [3]
6 -> [1]
1 -> [1]
7 -> [1]
2 -> [1]
8 -> [1]
6 -> [1]
9 -> [1]
Accuracy (on train): 0.3
7 -> [1]
2 -> [1]
1 -> [1]
0 -> [3]
4 -> [1]
1 -> [1]
4 -> [1]
9 -> [1]
5 -> [1]
9 -> [1]
0 -> [3]
6 -> [1]
9 -> [1]
0 -> [1]
1 -> [1]
5 -> [1]
9 -> [1]
7 -> [1]
3 -> [3]
4 -> [1]
100%|██████████| 600/600 [00:02<00:00, 273.11it/s]
 19%|█▉        | 115/600 [00:00<00:01, 273.42it/s]
loss: [2400]: 222.96449279785156
5 -> [2]
0 -> [0]
4 -> [7]
1 -> [1]
9 -> [7]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [7]
5 -> [1]
3 -> [0]
6 -> [7]
1 -> [1]
7 -> [7]
2 -> [7]
8 -> [7]
6 -> [1]
9 -> [1]
Accuracy (on train): 0.3
7 -> [1]
2 -> [7]
1 -> [1]
0 -> [0]
4 -> [7]
1 -> [1]
4 -> [7]
9 -> [7]
5 -> [0]
9 -> [0]
0 -> [0]
6 -> [0]
9 -> [7]
0 -> [0]
1 -> [1]
5 -> [7]
9 -> [7]
7 -> [7]
3 -> [0]

100%|██████████| 600/600 [00:02<00:00, 251.53it/s]
Accuracy (on test): 0.35
 79%|███████▊  | 472/600 [00:01<00:00, 237.90it/s]
loss: [3000]: 222.25302124023438
5 -> [2]
0 -> [0]
4 -> [7]
1 -> [1]
9 -> [7]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [2]
5 -> [1]
3 -> [0]
6 -> [2]
1 -> [1]
7 -> [7]
2 -> [2]
8 -> [7]
6 -> [1]
9 -> [1]
Accuracy (on train): 0.35
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [0]
4 -> [7]
1 -> [1]
4 -> [7]
9 -> [7]
5 -> [2]
9 -> [2]
0 -> [0]
6 -> [2]
9 -> [7]
0 -> [2]
1 -> [1]
5 -> [7]
9 -> [7]
7 -> [7]
3 -> [0]
4 -> [1]
100%|██████████| 600/600 [00:02<00:00, 236.23it/s]
 61%|██████▏   | 368/600 [00:01<00:00, 274.53it/s]
loss: [3600]: 221.52708435058594
5 -> [2]
0 -> [0]
4 -> [7]
1 -> [1]
9 -> [7]
2 -> [0]
1 -> [1]
3 -> [0]
1 -> [1]
4 -> [7]
3 -> [6]
5 -> [1]
3 -> [0]
6 -> [2]
1 -> [1]
7 -> [9]
2 -> [2]
8 -> [6]
6 -> [1]
9 -> [1]
Accuracy (on train): 0.3
7 -> [7]
2 -> [2]
1 -> [1]
0 -> [0]
4 -> [7]
1 -> [1]
4 -> [7]
9 -> [7]
