
train_set.shape: (60000, 28, 28)
 61%|██████    | 366/600 [00:01<00:00, 272.62it/s]
loss: [600]: 230.2508544921875
5 -> [5]
0 -> [5]
4 -> [5]
1 -> [5]
9 -> [5]
2 -> [5]
1 -> [5]
3 -> [5]
1 -> [5]
4 -> [5]
3 -> [5]
5 -> [5]
3 -> [5]
6 -> [5]
1 -> [5]
7 -> [5]
2 -> [5]
8 -> [5]
6 -> [5]
9 -> [5]
Accuracy (on train): 0.1
7 -> [5]
2 -> [5]
1 -> [5]
0 -> [5]
4 -> [5]
1 -> [5]
4 -> [5]
9 -> [5]
5 -> [5]
9 -> [5]
0 -> [5]
6 -> [5]
9 -> [5]
0 -> [5]
1 -> [5]
5 -> [5]
9 -> [5]
7 -> [5]
3 -> [5]
4 -> [5]
100%|██████████| 600/600 [00:02<00:00, 261.59it/s]
 47%|████▋     | 280/600 [00:01<00:01, 272.49it/s]
loss: [1200]: 230.24139404296875
5 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
9 -> [1]
2 -> [1]
1 -> [1]
3 -> [1]
1 -> [1]
4 -> [1]
3 -> [1]
5 -> [1]
3 -> [1]
6 -> [1]
1 -> [1]
7 -> [1]
2 -> [1]
8 -> [1]
6 -> [1]
9 -> [1]
Accuracy (on train): 0.2
7 -> [1]
2 -> [1]
1 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
4 -> [1]
9 -> [1]
5 -> [1]
9 -> [1]
0 -> [1]
6 -> [1]
9 -> [1]
0 -> [1]
1 -> [1]
5 -> [1]
9 -> [1]
7 -> [1]
3 -> [1]
4 -> [1]
100%|██████████| 600/600 [00:02<00:00, 271.21it/s]
  2%|▏         | 13/600 [00:00<00:02, 231.92it/s]
conv_net.py  notebooks			tile_mnist.py		    vit.py
main.py      __pycache__		train-images-idx3-ubyte.gz  wandb
mnist.pkl    t10k-images-idx3-ubyte.gz	train-labels-idx1-ubyte.gz
mnist.py     t10k-labels-idx1-ubyte.gz	Untitled.ipynb
