
train_set.shape: (60000, 28, 28)
 62%|██████▏   | 371/600 [00:01<00:00, 274.02it/s]
loss: [600]: 230.24972534179688
5 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
9 -> [1]
2 -> [1]
1 -> [1]
3 -> [1]
1 -> [1]
4 -> [1]
3 -> [1]
5 -> [1]
3 -> [1]
6 -> [1]
1 -> [1]
7 -> [1]
2 -> [1]
8 -> [1]
6 -> [1]
9 -> [1]
Accuracy (on train): 0.2
7 -> [1]
2 -> [1]
1 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
4 -> [1]
9 -> [1]
5 -> [1]
9 -> [1]
0 -> [1]
6 -> [1]
9 -> [1]
0 -> [1]
1 -> [1]
5 -> [1]
9 -> [1]
7 -> [1]
3 -> [1]
4 -> [1]
100%|██████████| 600/600 [00:02<00:00, 263.72it/s]
 47%|████▋     | 283/600 [00:01<00:01, 270.99it/s]
loss: [1200]: 230.23680114746094
5 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
9 -> [1]
2 -> [1]
1 -> [1]
3 -> [1]
1 -> [1]
4 -> [1]
3 -> [1]
5 -> [1]
3 -> [1]
6 -> [1]
1 -> [1]
7 -> [1]
2 -> [1]
8 -> [1]
6 -> [1]
9 -> [1]
Accuracy (on train): 0.2
7 -> [1]
2 -> [1]
1 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
4 -> [1]
9 -> [1]
5 -> [1]
9 -> [1]
0 -> [1]
6 -> [1]
9 -> [1]
0 -> [1]
1 -> [1]
5 -> [1]
9 -> [1]
7 -> [1]
3 -> [1]
4 -> [1]
100%|██████████| 600/600 [00:02<00:00, 275.72it/s]
 34%|███▎      | 201/600 [00:00<00:01, 276.42it/s]
loss: [1800]: 230.21087646484375
5 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
9 -> [1]
2 -> [1]
1 -> [1]
3 -> [1]
1 -> [1]
4 -> [1]
3 -> [1]
5 -> [1]
3 -> [1]
6 -> [1]
1 -> [1]
7 -> [1]
2 -> [1]
8 -> [1]
6 -> [1]
9 -> [1]
Accuracy (on train): 0.2
7 -> [1]
2 -> [1]
1 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
4 -> [1]
9 -> [1]
5 -> [1]
9 -> [1]
0 -> [1]
6 -> [1]
9 -> [1]
0 -> [1]
1 -> [1]
5 -> [1]
9 -> [1]
7 -> [1]
3 -> [1]
4 -> [1]
100%|██████████| 600/600 [00:02<00:00, 272.18it/s]
 19%|█▉        | 116/600 [00:00<00:01, 279.37it/s]
loss: [2400]: 230.0704345703125
5 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
9 -> [1]
2 -> [1]
1 -> [1]
3 -> [1]
1 -> [1]
4 -> [1]
3 -> [1]
5 -> [1]
3 -> [1]
6 -> [1]
1 -> [1]
7 -> [1]
2 -> [1]
8 -> [1]
6 -> [1]
9 -> [1]
Accuracy (on train): 0.2
7 -> [1]
2 -> [1]
1 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
4 -> [1]
9 -> [1]
5 -> [1]
9 -> [1]
0 -> [1]
6 -> [1]
9 -> [1]
0 -> [1]
1 -> [1]
5 -> [1]
9 -> [1]
7 -> [1]
3 -> [1]
4 -> [1]
Accuracy (on test): 0.15
100%|██████████| 600/600 [00:02<00:00, 274.39it/s]
  4%|▍         | 27/600 [00:00<00:02, 268.39it/s]
loss: [3000]: 230.0230712890625
5 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
9 -> [1]
2 -> [1]
1 -> [1]
3 -> [1]
1 -> [1]
4 -> [1]
3 -> [1]
5 -> [1]
3 -> [1]
6 -> [1]
1 -> [1]
7 -> [1]
2 -> [1]
8 -> [1]
6 -> [1]
9 -> [1]
Accuracy (on train): 0.2
7 -> [1]
2 -> [1]
1 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
4 -> [1]
9 -> [1]
5 -> [1]
9 -> [1]
0 -> [1]
6 -> [1]
9 -> [1]
0 -> [1]
1 -> [1]
5 -> [1]
9 -> [1]
7 -> [1]
3 -> [1]
4 -> [1]

100%|██████████| 600/600 [00:02<00:00, 273.00it/s]
 84%|████████▍ | 505/600 [00:01<00:00, 275.13it/s]
loss: [3600]: 229.9504852294922
5 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
9 -> [1]
2 -> [1]
1 -> [1]
3 -> [1]
1 -> [1]
4 -> [1]
3 -> [1]
5 -> [1]
3 -> [1]
6 -> [1]
1 -> [1]
7 -> [1]
2 -> [1]
8 -> [1]
6 -> [1]
9 -> [1]
Accuracy (on train): 0.2
7 -> [1]
2 -> [1]
1 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
4 -> [1]
9 -> [1]
5 -> [1]
9 -> [1]
0 -> [1]
6 -> [1]
9 -> [1]
0 -> [1]
1 -> [1]
5 -> [1]
9 -> [1]
7 -> [1]
3 -> [1]
4 -> [1]
100%|██████████| 600/600 [00:02<00:00, 273.63it/s]
 70%|███████   | 422/600 [00:01<00:00, 272.84it/s]
loss: [4200]: 229.83299255371094
5 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
9 -> [1]
2 -> [1]
1 -> [1]
3 -> [1]
1 -> [1]
4 -> [1]
3 -> [1]
5 -> [1]
3 -> [1]
6 -> [1]
1 -> [1]
7 -> [1]
2 -> [1]
8 -> [1]
6 -> [1]
9 -> [1]
Accuracy (on train): 0.2
7 -> [1]
2 -> [1]
1 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
4 -> [1]
9 -> [1]
5 -> [1]
9 -> [1]
0 -> [1]
6 -> [1]
9 -> [1]
0 -> [1]
1 -> [1]
5 -> [1]
9 -> [1]
7 -> [1]
3 -> [1]
4 -> [1]
Accuracy (on test): 0.15
100%|██████████| 600/600 [00:02<00:00, 272.25it/s]
 56%|█████▋    | 339/600 [00:01<00:00, 271.11it/s]
loss: [4800]: 229.8182373046875
5 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
9 -> [1]
2 -> [1]
1 -> [1]
3 -> [1]
1 -> [1]
4 -> [1]
3 -> [1]
5 -> [1]
3 -> [1]
6 -> [1]
1 -> [1]
7 -> [1]
2 -> [1]
8 -> [1]
6 -> [1]
9 -> [1]
Accuracy (on train): 0.2
7 -> [1]
2 -> [1]
1 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
4 -> [1]
9 -> [1]
5 -> [1]
9 -> [1]
0 -> [1]
6 -> [1]
9 -> [1]
0 -> [1]
1 -> [1]
5 -> [1]
9 -> [1]
7 -> [1]
3 -> [1]
4 -> [1]
100%|██████████| 600/600 [00:02<00:00, 270.03it/s]
100%|██████████| 600/600 [00:02<00:00, 268.99it/s]
 23%|██▎       | 140/600 [00:00<00:01, 272.35it/s]
loss: [5400]: 229.80352783203125
5 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
9 -> [1]
2 -> [1]
1 -> [1]
3 -> [1]
1 -> [1]
4 -> [1]
3 -> [1]
5 -> [1]
3 -> [1]
6 -> [1]
1 -> [1]
7 -> [1]
2 -> [1]
8 -> [1]
6 -> [1]
9 -> [1]
Accuracy (on train): 0.2
7 -> [1]
2 -> [1]
1 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
4 -> [1]
9 -> [1]
5 -> [1]
9 -> [1]
0 -> [1]
6 -> [1]
9 -> [1]
0 -> [1]
1 -> [1]
5 -> [1]
9 -> [1]
7 -> [1]
3 -> [1]
4 -> [1]
100%|██████████| 600/600 [00:02<00:00, 268.56it/s]
  9%|▉         | 56/600 [00:00<00:02, 269.80it/s]
loss: [6000]: 229.78860473632812
5 -> [1]
0 -> [1]
4 -> [1]
1 -> [1]
9 -> [1]
2 -> [1]
1 -> [1]
3 -> [1]
1 -> [1]
4 -> [1]
3 -> [1]
5 -> [1]
3 -> [1]
6 -> [1]
1 -> [1]
7 -> [1]
2 -> [1]
8 -> [1]
6 -> [1]
9 -> [1]
Accuracy (on train): 0.2
7 -> [1]
2 -> [1]
1 -> [1]
